Applying branch and bound with tau=1.000000e+01
************************************************************************************
Explored nodes: 1000000
Leaves: 10000
Node [25245>25246] {2.891774e-01}-{4.680000e+02}-{{0:98}{1:50}{2:100}}
Node [25344>25345] {2.478758e-01}-{6.270000e+02}-{{0:98}{1:49}{2:100}}
Node [25443>25444] {2.955750e-01}-{5.930000e+02}-{{0:98}{1:48}{2:100}}
Node [25542>25543] {2.474514e-01}-{6.130000e+02}-{{0:98}{1:47}{2:100}}
Node [25641>25642] {2.971783e-01}-{5.930000e+02}-{{0:98}{1:46}{2:100}}
Node [25740>25741] {2.469904e-01}-{6.200000e+02}-{{0:98}{1:45}{2:100}}
Node [25839>25840] {2.989250e-01}-{5.830000e+02}-{{0:98}{1:44}{2:100}}
Node [25938>25939] {2.464878e-01}-{6.140000e+02}-{{0:98}{1:43}{2:100}}
Node [26037>26038] {3.008355e-01}-{5.980000e+02}-{{0:98}{1:42}{2:100}}
Node [26136>26137] {2.459379e-01}-{6.350000e+02}-{{0:98}{1:41}{2:100}}
Node [26235>26236] {3.029338e-01}-{5.950000e+02}-{{0:98}{1:40}{2:100}}
Node [26334>26335] {2.412009e-01}-{6.970000e+02}-{{0:98}{1:39}{2:100}}
Node [26433>26434] {3.094899e-01}-{6.770000e+02}-{{0:98}{1:38}{2:100}}
Node [26532>26533] {2.403113e-01}-{7.160000e+02}-{{0:98}{1:37}{2:100}}
Node [26631>26632] {3.122918e-01}-{6.870000e+02}-{{0:98}{1:36}{2:100}}
Node [26730>26731] {2.393233e-01}-{7.180000e+02}-{{0:98}{1:35}{2:100}}
Node [26829>26830] {3.154173e-01}-{6.920000e+02}-{{0:98}{1:34}{2:100}}
Node [26928>26929] {2.413895e-01}-{8.670000e+02}-{{0:98}{1:33}{2:100}}
Node [27027>27028] {3.240504e-01}-{8.530000e+02}-{{0:98}{1:32}{2:100}}
Node [27126>27127] {2.403517e-01}-{8.490000e+02}-{{0:98}{1:31}{2:100}}
Node [27225>27226] {3.283563e-01}-{8.620000e+02}-{{0:98}{1:30}{2:100}}
Node [27324>27325] {2.391770e-01}-{8.540000e+02}-{{0:98}{1:29}{2:100}}
Node [27423>27424] {3.373758e-01}-{9.240000e+02}-{{0:98}{1:28}{2:100}}
Node [27522>27523] {2.335728e-01}-{9.420000e+02}-{{0:98}{1:27}{2:100}}
Node [27621>27622] {3.433361e-01}-{9.520000e+02}-{{0:98}{1:26}{2:100}}
Node [27720>27721] {2.316890e-01}-{9.510000e+02}-{{0:98}{1:25}{2:100}}
Node [27819>27820] {3.553909e-01}-{1.069000e+03}-{{0:98}{1:24}{2:100}}
Node [27918>27919] {2.348384e-01}-{1.124000e+03}-{{0:98}{1:23}{2:100}}
Node [28017>28018] {3.680819e-01}-{1.156000e+03}-{{0:98}{1:22}{2:100}}
Node [28116>28117] {2.284863e-01}-{1.173000e+03}-{{0:98}{1:21}{2:100}}
Node [28215>28216] {3.787848e-01}-{1.137000e+03}-{{0:98}{1:20}{2:100}}
Node [28314>28315] {2.288436e-01}-{1.331000e+03}-{{0:98}{1:19}{2:100}}
Node [28413>28414] {4.013315e-01}-{1.496000e+03}-{{0:98}{1:18}{2:100}}
Node [28512>28513] {2.213262e-01}-{1.411000e+03}-{{0:98}{1:17}{2:100}}
Node [28611>28612] {4.238008e-01}-{1.517000e+03}-{{0:98}{1:16}{2:100}}
Node [28710>28711] {2.180894e-01}-{1.651000e+03}-{{0:98}{1:15}{2:100}}
Node [28809>28810] {4.561030e-01}-{1.713000e+03}-{{0:98}{1:14}{2:100}}
Node [28908>28909] {2.117447e-01}-{1.881000e+03}-{{0:98}{1:13}{2:100}}
Node [29007>29008] {4.974440e-01}-{1.923000e+03}-{{0:98}{1:12}{2:100}}
Node [29106>29107] {2.085488e-01}-{2.264000e+03}-{{0:98}{1:11}{2:100}}
Node [29205>29206] {5.576705e-01}-{2.258000e+03}-{{0:98}{1:10}{2:100}}
